index,paras,rt_name,sl_name,method,mean_validation_score
33,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.140061188913503
34,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.14008941737415
35,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.140108460724193
36,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 90, 'normalize': False}",Identity,Identity,BRidge,-25.140181067905647
37,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.140187474714697
38,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.140300797640908
39,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.140416009846714
40,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.14172431632562
41,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.141907991686026
42,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.14197981171038
43,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.14210328456767
44,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.142188039343665
45,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 110, 'normalize': False}",Identity,Identity,BRidge,-25.142307456480378
46,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.142401704472714
47,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 80, 'normalize': False}",Identity,Identity,BRidge,-25.14263337244283
48,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-179.5286816790449
48,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,MinMax,BRidge,-179.5286816790449
49,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-179.5286816791229
49,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,MinMax,BRidge,-179.5286816791229
50,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,MinMax,BRidge,-179.52868167920087
50,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-179.52868167920087
51,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,Identity,BRidge,-179.5286816792789
51,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 80, 'normalize': True}",Identity,MinMax,BRidge,-179.5286816792789
52,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168147995
52,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-179.52868168147995
53,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-179.52868168154924
53,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168154924
54,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-179.52868168161856
54,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168161856
55,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,Identity,BRidge,-179.5286816816879
55,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 90, 'normalize': True}",Identity,MinMax,BRidge,-179.5286816816879
56,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-179.52868168342798
56,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168342798
57,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168349036
57,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-179.52868168349036
58,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-179.52868168355272
58,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168355272
59,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168361516
59,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-179.52868168361516
60,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-179.5286816850218
60,"{'alpha_1': 110, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-179.5286816850218
61,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-179.5286816850785
61,"{'alpha_1': 100, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-179.5286816850785
62,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168513524
62,"{'alpha_1': 90, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-179.52868168513524
63,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,Identity,BRidge,-179.52868168519197
63,"{'alpha_1': 80, 'fit_intercept': True, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-179.52868168519197
