index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
0,{'fit_intercept': True},MinMax,ZScore,BestK3,LM,-86.18778162001576
1,{'fit_intercept': False},MinMax,ZScore,BestK3,LM,-310.5715666666829
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,BestK3,Ridge,-86.53080008000386
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,BestK3,Ridge,-86.53095398998828
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,BestK3,Ridge,-86.5666201749559
3,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,BestK3,Ridge,-310.5933065791648
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,BestK3,Ridge,-310.606473781571
5,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,BestK3,Ridge,-310.6066057792832
0,{'fit_intercept': True},MinMax,ZScore,BestK2,LM,-97.4112912839342
1,{'fit_intercept': False},MinMax,ZScore,BestK2,LM,-311.7282748076193
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,BestK2,Ridge,-97.52664489250618
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,BestK2,Ridge,-97.52672260432787
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,BestK2,Ridge,-97.54903451926538
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,BestK2,Ridge,-311.3497402479949
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,BestK2,Ridge,-311.3499827986539
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,BestK2,Ridge,-311.3767986607079
0,{'fit_intercept': True},MinMax,ZScore,PCA1,LM,-153.73685258253442
1,{'fit_intercept': False},MinMax,ZScore,PCA1,LM,-326.6143667406766
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,PCA1,Ridge,-153.73685258286997
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,PCA1,Ridge,-153.73685268864654
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,PCA1,Ridge,-153.73688613805396
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,PCA1,Ridge,-326.61436674087724
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,PCA1,Ridge,-326.61436680411754
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,PCA1,Ridge,-326.6143868024208
0,{'fit_intercept': True},MinMax,ZScore,PCA2,LM,-59.08569703288014
1,{'fit_intercept': False},MinMax,ZScore,PCA2,LM,-310.07472137886543
0,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,PCA2,Ridge,-59.075522235843046
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,PCA2,Ridge,-59.08047766161749
2,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,PCA2,Ridge,-59.08049333850336
3,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,PCA2,Ridge,-310.30066962902015
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,PCA2,Ridge,-310.30152313003146
5,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,PCA2,Ridge,-310.3015258326156
0,{'fit_intercept': True},MinMax,ZScore,PCA3,LM,-48.63520226897407
1,{'fit_intercept': False},MinMax,ZScore,PCA3,LM,-318.5906913135091
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,ZScore,PCA3,Ridge,-49.059373629146556
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,ZScore,PCA3,Ridge,-49.05961686336601
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,ZScore,PCA3,Ridge,-49.065864710178914
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,ZScore,PCA3,Ridge,-315.4459758580381
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,ZScore,PCA3,Ridge,-315.44600433661446
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,ZScore,PCA3,Ridge,-315.5212680589241
0,{'fit_intercept': True},MinMax,Identity,Identity,LM,-48.58837348994502
1,{'fit_intercept': False},MinMax,Identity,Identity,LM,-49.713544845581055
0,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,Identity,Ridge,-48.66946862273489
1,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,Identity,Ridge,-48.70866863313855
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,Identity,Ridge,-51.87000058452632
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,Identity,Ridge,-51.97923690243094
4,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,Identity,Ridge,-52.00097623733581
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,Identity,Ridge,-55.80384808946333
0,{'fit_intercept': True},MinMax,Identity,BestK1,LM,-106.68598944706568
1,{'fit_intercept': False},MinMax,Identity,BestK1,LM,-128.41658528768156
0,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,BestK1,Ridge,-106.95897452530005
1,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,BestK1,Ridge,-107.04518450866378
2,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,BestK1,Ridge,-107.0518359957775
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,BestK1,Ridge,-129.53705790942377
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,BestK1,Ridge,-129.5406661496539
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,BestK1,Ridge,-132.0326391224623
0,{'fit_intercept': True},MinMax,Identity,BestK3,LM,-86.18778162001594
1,{'fit_intercept': False},MinMax,Identity,BestK3,LM,-89.83080782820846
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,BestK3,Ridge,-86.37963265754613
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,BestK3,Ridge,-86.4620070465835
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,BestK3,Ridge,-90.59097251371809
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,BestK3,Ridge,-91.08222342630617
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,BestK3,Ridge,-91.10803040895715
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,BestK3,Ridge,-95.97226835438494
0,{'fit_intercept': True},MinMax,Identity,BestK2,LM,-97.4112912839335
1,{'fit_intercept': False},MinMax,Identity,BestK2,LM,-110.33410278685525
0,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,BestK2,Ridge,-97.46122520442309
1,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,BestK2,Ridge,-97.47500594026181
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,BestK2,Ridge,-98.97875949213133
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,BestK2,Ridge,-111.75594380156365
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,BestK2,Ridge,-111.76051359248589
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,BestK2,Ridge,-118.7928261866399
0,{'fit_intercept': True},MinMax,Identity,PCA1,LM,-140.83641121597665
1,{'fit_intercept': False},MinMax,Identity,PCA1,LM,-324.4056929947651
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,PCA1,Ridge,-140.8364113483232
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,PCA1,Ridge,-140.8364530675948
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,PCA1,Ridge,-140.85001773376231
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,PCA1,Ridge,-324.405693039649
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,PCA1,Ridge,-324.4057071882473
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,PCA1,Ridge,-324.4101799796879
0,{'fit_intercept': True},MinMax,Identity,PCA2,LM,-61.78429777725751
1,{'fit_intercept': False},MinMax,Identity,PCA2,LM,-309.0776838095538
0,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,PCA2,Ridge,-61.71547314159848
1,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,PCA2,Ridge,-61.71714930795249
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,PCA2,Ridge,-61.811852206449984
3,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,PCA2,Ridge,-308.785759870914
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,PCA2,Ridge,-309.1526256675557
5,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,PCA2,Ridge,-309.15459699613365
0,{'fit_intercept': True},MinMax,Identity,PCA3,LM,-48.639634855344895
1,{'fit_intercept': False},MinMax,Identity,PCA3,LM,-318.594440221865
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,Identity,PCA3,Ridge,-48.69435581969102
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,Identity,PCA3,Ridge,-48.70264861202664
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,Identity,PCA3,Ridge,-51.867124296078025
3,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,Identity,PCA3,Ridge,-312.8978042569936
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,Identity,PCA3,Ridge,-315.43424456736864
5,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,Identity,PCA3,Ridge,-315.45404917859184
