NumOfFeatures,fe_name,method,metrics,paras,rt_name,sl_name,training_time
97,PCA2,Ridge,0.7341501502341039,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",L1Norm,ZScore,0.6319999694824219
97,PCA2,LM,0.734018415496833,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",L1Norm,ZScore,0.31599998474121094
88,PCA2,LM,0.7281479148905161,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",L1Norm,MinMax,0.2780001163482666
88,PCA2,Ridge,0.7277108802584846,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",L1Norm,MinMax,0.5339999198913574
30,BestK3,Ridge,0.6526308657672442,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,ZScore,0.30500006675720215
30,BestK3,LM,0.6525357274733599,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,Identity,0.127000093460083
30,BestK3,LM,0.6525357274733598,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,MinMax,0.1269998550415039
30,BestK3,LM,0.6525357274733596,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,ZScore,0.10700011253356934
30,BestK3,Ridge,0.6523910256857728,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,Identity,0.3429999351501465
30,BestK3,Ridge,0.6517357243711257,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,MinMax,0.33700013160705566
47,PCA2,Ridge,0.6409307664788512,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",L1Norm,Identity,0.31999993324279785
47,PCA2,LM,0.6407467901912574,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",L1Norm,Identity,0.12899994850158691
30,BestK3,LM,0.6175924982424552,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,MinMax,0.11900019645690918
30,BestK3,LM,0.6175787485610968,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,Identity,0.11800003051757812
30,BestK3,LM,0.6175629561021856,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,ZScore,0.125
30,BestK3,Ridge,0.6169601437466579,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",ZScore,Identity,0.33300018310546875
30,BestK3,Ridge,0.6159942901732292,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",ZScore,ZScore,0.5149998664855957
30,BestK3,Ridge,0.6146067231457747,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",ZScore,MinMax,0.33699989318847656
20,BestK2,LM,0.5818104932510504,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,Identity,0.06299996376037598
20,BestK2,LM,0.5818104932510504,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,ZScore,0.07299995422363281
20,BestK2,Ridge,0.5815431721300109,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",ZScore,ZScore,0.2259998321533203
20,BestK2,Ridge,0.5814809359849329,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",ZScore,Identity,0.20200014114379883
20,BestK2,LM,0.5666261456734784,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",ZScore,MinMax,0.06699991226196289
10,BestK1,Ridge,0.5662263985841467,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",ZScore,Identity,0.12100005149841309
10,BestK1,Ridge,0.5660693781769838,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",ZScore,ZScore,0.12100005149841309
10,BestK1,LM,0.5654732485693845,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,Identity,0.03399991989135742
10,BestK1,LM,0.5654732485693845,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",ZScore,ZScore,0.042999982833862305
20,BestK2,Ridge,0.5617329738148932,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",ZScore,MinMax,0.22499990463256836
20,BestK2,Ridge,0.5492806327080095,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",MinMax,Identity,0.24100017547607422
20,BestK2,Ridge,0.5488553095489418,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,ZScore,0.1960000991821289
20,BestK2,LM,0.5486710969884543,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,ZScore,0.05800008773803711
20,BestK2,LM,0.5486710969884543,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,MinMax,0.05900001525878906
20,BestK2,LM,0.5486710969884542,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,Identity,0.06599998474121094
20,BestK2,Ridge,0.5482387447210626,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,MinMax,0.25
10,BestK1,Ridge,0.5216722332438528,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",ZScore,MinMax,0.11899995803833008
10,BestK1,LM,0.5215515838938162,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",ZScore,MinMax,0.04399991035461426
10,BestK1,Ridge,0.5056687343060953,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",MinMax,Identity,0.12800002098083496
10,BestK1,Ridge,0.5056566020621525,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,MinMax,0.1100001335144043
10,BestK1,LM,0.5056565346196202,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,Identity,0.0410001277923584
10,BestK1,LM,0.5056565346196202,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,MinMax,0.039999961853027344
10,BestK1,LM,0.5056565346196201,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",MinMax,ZScore,0.039999961853027344
10,BestK1,Ridge,0.5056516465770824,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",MinMax,ZScore,0.10599994659423828
30,BestK3,Ridge,0.498511257233355,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",L1Norm,ZScore,0.34800004959106445
30,BestK3,LM,0.4963656545620072,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",L1Norm,ZScore,0.11400008201599121
30,BestK3,LM,0.4942245183454337,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",L1Norm,Identity,0.10599994659423828
30,BestK3,Ridge,0.4922976332038397,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",L1Norm,MinMax,0.3149998188018799
30,BestK3,LM,0.49116300956901315,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",L1Norm,MinMax,0.11800003051757812
