index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
3,{'alpha': 0.05623413251903491},MinMax,ZScore,Identity,Perceptron,0.5274074074074074
4,{'alpha': 1.0},MinMax,ZScore,Identity,Perceptron,0.22907407407407407
0,{'max_depth': 7},MinMax,ZScore,Identity,DT,0.7605555555555555
1,{'max_depth': 11},MinMax,ZScore,Identity,DT,0.7575925925925926
2,{'max_depth': 9},MinMax,ZScore,Identity,DT,0.7553703703703704
3,{'max_depth': 5},MinMax,ZScore,Identity,DT,0.7388888888888889
4,{'max_depth': 3},MinMax,ZScore,Identity,DT,0.6896296296296296
5,{'max_depth': 1},MinMax,ZScore,Identity,DT,0.4387037037037037
0,{'n_neighbors': 26},MinMax,ZScore,BestK1,KNN,0.7105555555555556
1,{'n_neighbors': 20},MinMax,ZScore,BestK1,KNN,0.707037037037037
2,{'n_neighbors': 14},MinMax,ZScore,BestK1,KNN,0.7038888888888889
3,{'n_neighbors': 8},MinMax,ZScore,BestK1,KNN,0.6990740740740741
4,{'n_neighbors': 2},MinMax,ZScore,BestK1,KNN,0.6438888888888888
0,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,BestK1,NB,0.6525925925925926
1,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,BestK1,NB,0.6518518518518519
0,{'alpha': 0.00017782794100389227},MinMax,ZScore,BestK1,Perceptron,0.5659259259259259
1,{'alpha': 1e-05},MinMax,ZScore,BestK1,Perceptron,0.5516666666666666
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,BestK1,Perceptron,0.5024074074074074
3,{'alpha': 0.05623413251903491},MinMax,ZScore,BestK1,Perceptron,0.4551851851851852
4,{'alpha': 1.0},MinMax,ZScore,BestK1,Perceptron,0.2064814814814815
0,{'max_depth': 9},MinMax,ZScore,BestK1,DT,0.6785185185185185
1,{'max_depth': 7},MinMax,ZScore,BestK1,DT,0.677962962962963
2,{'max_depth': 5},MinMax,ZScore,BestK1,DT,0.6672222222222223
3,{'max_depth': 11},MinMax,ZScore,BestK1,DT,0.6609259259259259
4,{'max_depth': 3},MinMax,ZScore,BestK1,DT,0.6477777777777778
5,{'max_depth': 1},MinMax,ZScore,BestK1,DT,0.4387037037037037
0,{'n_neighbors': 20},MinMax,ZScore,BestK3,KNN,0.79
1,{'n_neighbors': 14},MinMax,ZScore,BestK3,KNN,0.7883333333333333
2,{'n_neighbors': 8},MinMax,ZScore,BestK3,KNN,0.7868518518518518
3,{'n_neighbors': 26},MinMax,ZScore,BestK3,KNN,0.7861111111111111
4,{'n_neighbors': 2},MinMax,ZScore,BestK3,KNN,0.7511111111111111
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,BestK3,NB,0.7296296296296296
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,BestK3,NB,0.7281481481481481
0,{'alpha': 0.00017782794100389227},MinMax,ZScore,BestK3,Perceptron,0.6777777777777778
1,{'alpha': 1e-05},MinMax,ZScore,BestK3,Perceptron,0.6638888888888889
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,BestK3,Perceptron,0.5994444444444444
3,{'alpha': 0.05623413251903491},MinMax,ZScore,BestK3,Perceptron,0.4711111111111111
4,{'alpha': 1.0},MinMax,ZScore,BestK3,Perceptron,0.24944444444444444
0,{'max_depth': 9},MinMax,ZScore,BestK3,DT,0.7496296296296296
1,{'max_depth': 11},MinMax,ZScore,BestK3,DT,0.7474074074074074
2,{'max_depth': 7},MinMax,ZScore,BestK3,DT,0.7418518518518519
3,{'max_depth': 5},MinMax,ZScore,BestK3,DT,0.7151851851851851
4,{'max_depth': 3},MinMax,ZScore,BestK3,DT,0.6511111111111111
5,{'max_depth': 1},MinMax,ZScore,BestK3,DT,0.4387037037037037
0,{'n_neighbors': 8},MinMax,ZScore,BestK2,KNN,0.7651851851851852
1,{'n_neighbors': 14},MinMax,ZScore,BestK2,KNN,0.765
2,{'n_neighbors': 20},MinMax,ZScore,BestK2,KNN,0.7572222222222222
3,{'n_neighbors': 26},MinMax,ZScore,BestK2,KNN,0.7555555555555555
4,{'n_neighbors': 2},MinMax,ZScore,BestK2,KNN,0.7285185185185186
0,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,BestK2,NB,0.6953703703703704
1,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,BestK2,NB,0.6946296296296296
0,{'alpha': 1e-05},MinMax,ZScore,BestK2,Perceptron,0.605925925925926
1,{'alpha': 0.00017782794100389227},MinMax,ZScore,BestK2,Perceptron,0.5979629629629629
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,BestK2,Perceptron,0.585
3,{'alpha': 0.05623413251903491},MinMax,ZScore,BestK2,Perceptron,0.46296296296296297
4,{'alpha': 1.0},MinMax,ZScore,BestK2,Perceptron,0.25296296296296295
0,{'max_depth': 9},MinMax,ZScore,BestK2,DT,0.7092592592592593
1,{'max_depth': 7},MinMax,ZScore,BestK2,DT,0.7044444444444444
2,{'max_depth': 11},MinMax,ZScore,BestK2,DT,0.7031481481481482
3,{'max_depth': 5},MinMax,ZScore,BestK2,DT,0.6848148148148148
4,{'max_depth': 3},MinMax,ZScore,BestK2,DT,0.6448148148148148
5,{'max_depth': 1},MinMax,ZScore,BestK2,DT,0.4387037037037037
0,{'n_neighbors': 20},MinMax,ZScore,PCA1,KNN,0.774074074074074
1,{'n_neighbors': 26},MinMax,ZScore,PCA1,KNN,0.7722222222222223
2,{'n_neighbors': 14},MinMax,ZScore,PCA1,KNN,0.7714814814814814
3,{'n_neighbors': 8},MinMax,ZScore,PCA1,KNN,0.7642592592592593
4,{'n_neighbors': 2},MinMax,ZScore,PCA1,KNN,0.71
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,PCA1,NB,0.7392592592592593
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,PCA1,NB,0.737037037037037
0,{'alpha': 0.00017782794100389227},MinMax,ZScore,PCA1,Perceptron,0.6007407407407407
1,{'alpha': 1e-05},MinMax,ZScore,PCA1,Perceptron,0.5994444444444444
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,PCA1,Perceptron,0.5748148148148148
3,{'alpha': 0.05623413251903491},MinMax,ZScore,PCA1,Perceptron,0.49277777777777776
4,{'alpha': 1.0},MinMax,ZScore,PCA1,Perceptron,0.2987037037037037
0,{'max_depth': 7},MinMax,ZScore,PCA1,DT,0.7601851851851852
1,{'max_depth': 5},MinMax,ZScore,PCA1,DT,0.7583333333333333
2,{'max_depth': 9},MinMax,ZScore,PCA1,DT,0.7424074074074074
3,{'max_depth': 3},MinMax,ZScore,PCA1,DT,0.7340740740740741
4,{'max_depth': 11},MinMax,ZScore,PCA1,DT,0.7279629629629629
5,{'max_depth': 1},MinMax,ZScore,PCA1,DT,0.4474074074074074
0,{'n_neighbors': 8},MinMax,ZScore,PCA2,KNN,0.8081481481481482
1,{'n_neighbors': 20},MinMax,ZScore,PCA2,KNN,0.807962962962963
2,{'n_neighbors': 14},MinMax,ZScore,PCA2,KNN,0.8068518518518518
3,{'n_neighbors': 26},MinMax,ZScore,PCA2,KNN,0.8064814814814815
4,{'n_neighbors': 2},MinMax,ZScore,PCA2,KNN,0.7731481481481481
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,PCA2,NB,0.7575925925925926
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,PCA2,NB,0.7568518518518519
0,{'alpha': 1e-05},MinMax,ZScore,PCA2,Perceptron,0.6764814814814815
1,{'alpha': 0.00017782794100389227},MinMax,ZScore,PCA2,Perceptron,0.6668518518518518
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,PCA2,Perceptron,0.6140740740740741
3,{'alpha': 0.05623413251903491},MinMax,ZScore,PCA2,Perceptron,0.49944444444444447
4,{'alpha': 1.0},MinMax,ZScore,PCA2,Perceptron,0.22777777777777777
0,{'max_depth': 7},MinMax,ZScore,PCA2,DT,0.782962962962963
1,{'max_depth': 9},MinMax,ZScore,PCA2,DT,0.7816666666666666
2,{'max_depth': 11},MinMax,ZScore,PCA2,DT,0.7801851851851852
3,{'max_depth': 5},MinMax,ZScore,PCA2,DT,0.7646296296296297
4,{'max_depth': 3},MinMax,ZScore,PCA2,DT,0.735
5,{'max_depth': 1},MinMax,ZScore,PCA2,DT,0.4474074074074074
0,{'n_neighbors': 8},MinMax,ZScore,PCA3,KNN,0.8066666666666666
1,{'n_neighbors': 20},MinMax,ZScore,PCA3,KNN,0.8062962962962963
2,{'n_neighbors': 14},MinMax,ZScore,PCA3,KNN,0.8051851851851852
3,{'n_neighbors': 26},MinMax,ZScore,PCA3,KNN,0.8005555555555556
4,{'n_neighbors': 2},MinMax,ZScore,PCA3,KNN,0.7696296296296297
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,ZScore,PCA3,NB,0.7620370370370371
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,ZScore,PCA3,NB,0.7601851851851852
0,{'alpha': 1e-05},MinMax,ZScore,PCA3,Perceptron,0.6898148148148148
1,{'alpha': 0.00017782794100389227},MinMax,ZScore,PCA3,Perceptron,0.6655555555555556
2,{'alpha': 0.0031622776601683794},MinMax,ZScore,PCA3,Perceptron,0.607037037037037
3,{'alpha': 0.05623413251903491},MinMax,ZScore,PCA3,Perceptron,0.5274074074074074
4,{'alpha': 1.0},MinMax,ZScore,PCA3,Perceptron,0.22907407407407407
0,{'max_depth': 7},MinMax,ZScore,PCA3,DT,0.7787037037037037
1,{'max_depth': 9},MinMax,ZScore,PCA3,DT,0.7762962962962963
2,{'max_depth': 11},MinMax,ZScore,PCA3,DT,0.7696296296296297
3,{'max_depth': 5},MinMax,ZScore,PCA3,DT,0.7642592592592593
4,{'max_depth': 3},MinMax,ZScore,PCA3,DT,0.735
5,{'max_depth': 1},MinMax,ZScore,PCA3,DT,0.4474074074074074
0,{'n_neighbors': 14},MinMax,Identity,Identity,KNN,0.8137037037037037
1,{'n_neighbors': 20},MinMax,Identity,Identity,KNN,0.8127777777777778
2,{'n_neighbors': 26},MinMax,Identity,Identity,KNN,0.81
3,{'n_neighbors': 8},MinMax,Identity,Identity,KNN,0.8096296296296296
4,{'n_neighbors': 2},MinMax,Identity,Identity,KNN,0.7718518518518519
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,Identity,Identity,NB,0.7383333333333333
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,Identity,Identity,NB,0.7357407407407407
0,{'alpha': 1e-05},MinMax,Identity,Identity,Perceptron,0.6831481481481482
1,{'alpha': 0.00017782794100389227},MinMax,Identity,Identity,Perceptron,0.6805555555555556
2,{'alpha': 0.0031622776601683794},MinMax,Identity,Identity,Perceptron,0.4803703703703704
3,{'alpha': 0.05623413251903491},MinMax,Identity,Identity,Perceptron,0.28555555555555556
4,{'alpha': 1.0},MinMax,Identity,Identity,Perceptron,0.22018518518518518
0,{'max_depth': 7},MinMax,Identity,Identity,DT,0.7609259259259259
1,{'max_depth': 9},MinMax,Identity,Identity,DT,0.7555555555555555
2,{'max_depth': 11},MinMax,Identity,Identity,DT,0.7501851851851852
3,{'max_depth': 5},MinMax,Identity,Identity,DT,0.7388888888888889
4,{'max_depth': 3},MinMax,Identity,Identity,DT,0.6896296296296296
5,{'max_depth': 1},MinMax,Identity,Identity,DT,0.4387037037037037
0,{'n_neighbors': 26},MinMax,Identity,BestK1,KNN,0.7183333333333334
1,{'n_neighbors': 20},MinMax,Identity,BestK1,KNN,0.715925925925926
2,{'n_neighbors': 14},MinMax,Identity,BestK1,KNN,0.710925925925926
3,{'n_neighbors': 8},MinMax,Identity,BestK1,KNN,0.7048148148148148
4,{'n_neighbors': 2},MinMax,Identity,BestK1,KNN,0.6537037037037037
0,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,Identity,BestK1,NB,0.6525925925925926
1,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,Identity,BestK1,NB,0.6518518518518519
0,{'alpha': 1e-05},MinMax,Identity,BestK1,Perceptron,0.6051851851851852
1,{'alpha': 0.00017782794100389227},MinMax,Identity,BestK1,Perceptron,0.5033333333333333
2,{'alpha': 0.0031622776601683794},MinMax,Identity,BestK1,Perceptron,0.4825925925925926
3,{'alpha': 0.05623413251903491},MinMax,Identity,BestK1,Perceptron,0.25333333333333335
4,{'alpha': 1.0},MinMax,Identity,BestK1,Perceptron,0.22018518518518518
0,{'max_depth': 9},MinMax,Identity,BestK1,DT,0.6803703703703704
1,{'max_depth': 7},MinMax,Identity,BestK1,DT,0.679074074074074
2,{'max_depth': 5},MinMax,Identity,BestK1,DT,0.6674074074074074
3,{'max_depth': 11},MinMax,Identity,BestK1,DT,0.665
4,{'max_depth': 3},MinMax,Identity,BestK1,DT,0.6477777777777778
5,{'max_depth': 1},MinMax,Identity,BestK1,DT,0.4387037037037037
0,{'n_neighbors': 20},MinMax,Identity,BestK3,KNN,0.8007407407407408
1,{'n_neighbors': 14},MinMax,Identity,BestK3,KNN,0.8003703703703704
2,{'n_neighbors': 8},MinMax,Identity,BestK3,KNN,0.7987037037037037
3,{'n_neighbors': 26},MinMax,Identity,BestK3,KNN,0.797962962962963
4,{'n_neighbors': 2},MinMax,Identity,BestK3,KNN,0.7585185185185185
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,Identity,BestK3,NB,0.7296296296296296
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,Identity,BestK3,NB,0.7281481481481481
0,{'alpha': 1e-05},MinMax,Identity,BestK3,Perceptron,0.6707407407407407
1,{'alpha': 0.00017782794100389227},MinMax,Identity,BestK3,Perceptron,0.6087037037037037
2,{'alpha': 0.0031622776601683794},MinMax,Identity,BestK3,Perceptron,0.5461111111111111
3,{'alpha': 0.05623413251903491},MinMax,Identity,BestK3,Perceptron,0.2625925925925926
4,{'alpha': 1.0},MinMax,Identity,BestK3,Perceptron,0.22018518518518518
0,{'max_depth': 9},MinMax,Identity,BestK3,DT,0.7483333333333333
1,{'max_depth': 11},MinMax,Identity,BestK3,DT,0.7444444444444445
2,{'max_depth': 7},MinMax,Identity,BestK3,DT,0.7411111111111112
3,{'max_depth': 5},MinMax,Identity,BestK3,DT,0.715
4,{'max_depth': 3},MinMax,Identity,BestK3,DT,0.6511111111111111
5,{'max_depth': 1},MinMax,Identity,BestK3,DT,0.4387037037037037
0,{'n_neighbors': 8},MinMax,Identity,BestK2,KNN,0.7677777777777778
