IsNormalTime,Scores,indices,Team,Attempts,Corners,Offsides,Ball_Possession(%),Pass_Accuracy(%),Distance_Covered,Ball_Recovered,Yellow_Card,Red_Card,Team1_Fouls
1,4,2,SWITZERLAND,12,6,1,0.6,0.87,103,30,3,0,9
1,1,3,SWITZERLAND,18,11,0,0.63,0.84,103,72,2,1,13
1,3,0,TUNISIA,6,2,2,0.41,0.82,103,30,0,0,14
1,7,1,TUNISIA,15,2,3,0.48,0.82,102,37,1,0,13
1,3,2,TUNISIA,15,6,1,0.64,0.87,107,43,3,0,19
1,1,0,URUGUAY,14,5,1,0.57,0.86,111,54,0,0,6
1,1,1,URUGUAY,13,3,1,0.47,0.88,101,43,0,0,10
1,3,2,URUGUAY,17,4,0,0.56,0.88,101,34,1,0,17
1,3,3,URUGUAY,6,2,0,0.39,0.7,106,40,0,0,13
1,2,4,URUGUAY,11,4,0,0.42,0.67,103,45,2,0,17
