params,rt_name,sl_name,method,features,mean_validation_score
"{'alpha': 0.001, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7472222222222222
"{'alpha': 0.0005, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,all,0.7464814814814815
"{'alpha': 0.01, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7401851851851852
"{'alpha': 0.0005, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7401851851851852
"{'alpha': 0.005, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7387037037037038
"{'alpha': 0.001, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7375925925925926
"{'alpha': 0.0005, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,all,0.7361111111111112
"{'alpha': 0.0005, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7353703703703703
"{'alpha': 0.01, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.7348148148148148
"{'alpha': 0.001, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,all,0.7346296296296296
"{'alpha': 0.01, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,all,0.7342592592592593
"{'alpha': 0.005, 'hidden_layer_sizes': (40,)}",Identity,Identity,Neural,all,0.7329629629629629
"{'alpha': 0.001, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,all,0.7305555555555555
"{'alpha': 0.005, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,all,0.7151851851851851
"{'alpha': 0.001, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,all,0.7114814814814815
"{'alpha': 0.0005, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,all,0.7103703703703703
"{'alpha': 0.005, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,all,0.71
"{'alpha': 0.01, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,all,0.7044444444444444
"{'alpha': 0.01, 'hidden_layer_sizes': (80,)}",Identity,Identity,Neural,all,0.7022222222222222
"{'alpha': 0.005, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.6983333333333334
"{'alpha': 0.01, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.6964814814814815
"{'alpha': 0.001, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.6903703703703704
"{'alpha': 0.0005, 'hidden_layer_sizes': (60,)}",Identity,Identity,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]",0.6883333333333334
